NIC;Estrato;Personas;Ingresos;Gastos;Cartera;QSAT;ProbPago;Consumo
2568009;2;3;3518785.17;3009770.4;1;55;0.171;580160
1917746;1;4;9879752.42;8699043.65;0;64;0.784;954772
1777482;4;4;7949762.6;7311760.47;1;53;0.704;919296
2816836;1;4;8135539.69;7406730.4;1;59;0.901;938350
1461871;4;3;12223198;10933676.6;0;77;0.808;1058135
1569435;3;3;3960124.5;3490219.6;1;56;0.736;735746
2106536;2;4;7657221.6;7290255.16;0;76;0.352;905412
2483979;3;3;11972706.96;10684185.12;1;52;0.584;1055288
2670517;4;3;10790803.52;9802471.35;0;59;0.108;810302
2785539;2;3;6438560;5535022.35;1;88;0.224;552582
1733831;2;6;13972812.18;11625190.53;0;73;0.106;1061056
1399122;2;2;10598086.98;8931285.07;0;72;0.983;907440
2120076;3;5;5984413.92;5105301.6;0;69;0.188;606042
1534155;2;2;4085860.75;3691783.9;1;78;0.649;626725
1881323;1;4;8366979.6;7115846.64;0;80;0.51;729234
2128355;4;2;3973740.32;3595900.8;0;78;0.482;470814
1882773;2;2;16232301.45;14342694.24;0;67;0.933;1345768
2694555;2;3;12126324.55;10766865.01;0;75;0.814;1177709
2670684;4;2;4095236.43;3693554.06;1;41;0.523;404826
2121190;2;4;3937693;3689479.99;1;44;0.68;616814
1784180;3;2;5877324.8;5374957.83;1;85;0.355;519048
1505705;4;4;3302584.89;3150601.65;0;65;0.936;540216
1707365;2;6;6310611.21;5197014.45;1;77;0.462;588294
1251558;1;5;15985031.09;15282849;1;76;0.387;1293864
2541741;4;3;6863957.92;5787716.22;0;48;0.736;813395
1556161;1;3;11832472.29;11441994.84;0;40;0.658;1185600
1569727;2;3;10970702.88;9486409.6;1;58;0.562;947500
1540664;3;3;7040982.12;5831099.04;0;83;0.91;726432
2914680;1;5;4073534.1;3780954.48;1;57;0.871;423835
2954304;4;4;2836581.12;2477490.24;0;75;0.256;290244
2841753;2;5;5215128.93;4648203.71;1;76;0.311;596370
2902633;3;2;11193750.4;9623664.64;0;58;0.275;914722
2878624;3;5;2836106.37;2486895.45;0;67;0.506;278684
2533913;1;4;10403411.4;9279108.3;1;59;0.489;982527
2245095;3;4;4229972.4;3365286.9;1;40;0.365;602822
2909238;3;4;2793231.36;2303807.76;0;68;0.169;442005
1981603;1;2;4085452.75;3490935.57;0;63;0.24;413608
1742736;1;3;5239689.72;4571288.28;0;89;0.262;528374
2187512;3;5;4282668.39;3608644.45;0;47;0.115;419724
2129279;1;3;4275907.35;3446963.87;1;70;0.815;450378
2715411;2;4;4314479.04;3723195;0;68;0.256;478345
2224001;3;2;13177881.45;11605540.1;0;62;0.342;992354
1481348;3;3;10574840.76;9209809.8;0;46;0.724;867345
2669492;1;6;16311901.36;14372447.88;0;52;0.864;1206960
1992640;3;6;12777937;12443906.2;1;56;0.864;1155340
1399466;2;3;4325222.88;3727248.75;1;61;0.175;382305
1876402;4;5;11091908.62;9080526.45;1;66;0.705;803781
1440722;3;3;6995025.84;6242645.76;0;50;0.865;665252
2638400;4;2;11107059.72;9963787.8;0;67;0.273;964187
1544707;3;5;8228950.2;6973371.35;1;85;0.702;789165
2763162;2;5;3625832.76;3103821;0;69;0.309;525456
1876588;4;4;6141510.38;5540313.45;0;41;0.457;551890
2411318;2;4;9924793.45;8707392.46;1;87;0.606;872784
1867193;4;3;4095517.8;3684822.24;1;38;0.177;362340
2028947;2;3;1558993.9;1241433.84;0;81;0.741;265020
2737739;3;4;10212758.16;10007179.24;0;46;0.952;972312
1525619;1;3;4261686.96;3573056.28;1;39;0.789;608528
2641149;1;4;10229446.06;9007333.8;1;38;0.859;844290
2385741;1;3;4008985.92;3655961.25;0;76;0.171;472815
1511263;2;5;7957054.76;7235539.11;0;77;0.482;650240
2131010;3;5;4020835.08;3589629;0;88;0.814;418264
1551883;1;5;16312305.3;14420241.08;0;51;0.221;1401309
2914526;3;2;13147801.92;12328717.78;0;85;0.589;1168965
2777877;4;6;14015549.08;12696996.39;1;49;0.397;1178112
2908776;3;4;5440014.32;4536844.62;0;50;0.571;550659
2123237;3;5;5500785.6;4999385;1;67;0.597;563680
1459914;3;2;16408149.36;14936328.83;0;69;0.857;1430580
2079238;2;5;5636289.61;4595075;1;55;0.39;582400
1862221;2;6;13619655.2;12704926.3;1;50;0.1;1006661
2401494;2;6;3446670.78;2917645.6;0;76;0.97;586040
2221303;2;4;1564151.16;1304633.38;0;77;0.399;243067
1351468;4;5;15225729.54;14411818.68;0;50;0.746;1264488
1351094;4;2;11179776.3;10015301.6;1;72;0.811;795528
1493562;4;2;4299416.55;3436798.2;0;44;0.101;666900
2615714;1;4;4215711.4;3427661.25;0;51;0.4;614714
2427947;2;6;6500591.79;5979602.4;1;67;0.38;702990
2584063;4;5;4086694.08;3673320;1;67;0.347;492565
2091667;3;5;2661324.2;2504855;0;78;0.334;317312
1477087;3;2;7694855.65;7066896.39;0;80;0.106;875538
1627368;3;2;8409857.94;6856793.28;1;50;0.929;778005
2542384;1;6;12685684;10958951.76;0;46;0.287;992750
2335572;3;5;4089255.21;3663162.79;1;65;0.893;347274
2964593;4;3;11621291.82;11202347.85;0;77;0.163;1135004
1381556;4;3;2060503.97;1724044.63;0;57;0.8;364500
1483955;2;3;2854166.3;2368332.9;0;82;0.381;459690
2985231;2;4;8194158.76;7207585.88;1;83;0.234;835263
2994425;1;5;5549964.6;4806954.18;0;81;0.123;443744
2151111;1;2;1383716.81;1208928;1;77;0.663;251526
2268547;1;2;4052324;3628869.72;1;41;0.254;717673
2023163;3;3;3332768.78;2949940.74;1;59;0.856;511070
2343536;2;3;8144872.12;7073874.6;1;66;0.618;737760
1621496;1;2;12706861.8;12107449.14;0;48;0.278;992036
1265077;3;3;5549652.64;4542320.12;0;55;0.529;485550
2676753;1;6;1454021.4;1271965.52;0;59;0.996;238887
1833850;2;5;9798520.06;8643327;1;54;0.15;963495
1790782;1;2;1425548.74;1305068.16;0;82;0.705;243067
1792372;2;6;3297484.8;3076079.49;0;57;0.627;571033
1774736;3;2;3401535.06;2967533.1;1;86;0.513;554976
2599967;4;2;6364771;6074846.26;0;80;0.562;731520
1668895;1;4;2729298.24;2381687.84;0;80;0.375;331516
2830971;1;3;11222596.47;9507026.1;0;66;0.202;815031
2882645;2;4;5380800.32;5002374.58;0;50;0.671;538722
1972368;3;3;5642110.8;4823209.25;0;39;0.719;622281
2404795;2;5;2794074.8;2504142.82;1;77;0.181;288344
1803731;4;3;10867076.01;9089366.52;0;60;0.46;918696
2449550;1;3;13544989.65;11519279.75;1;51;0.307;1179662
1237280;2;5;4213166.1;3588603.16;1;63;0.114;403218
2019851;2;6;3330878.4;3071716.47;0;71;0.924;545235
1406382;2;2;2738407.14;2457691.3;0;34;0.951;450138
1357963;1;6;8448164.46;7317489.52;0;42;0.86;623737
1436072;1;6;2666871.36;2341551.18;1;78;0.68;456620
1908391;1;3;10251682.72;9202951.64;1;71;0.183;891662
2033124;2;5;11914975;10891654.93;0;60;0.892;1085062
1765563;2;3;6798366.08;6153172.29;1;51;0.884;765264
2001753;2;6;10284740.19;9864259.14;0;67;0.111;787635
1588557;1;6;5658012.72;5004640.9;1;75;0.601;634737
2248669;4;4;5657904.8;4943175.68;1;55;0.484;449259
2087221;2;2;5411027.92;4651805.34;1;64;0.929;413010
2393632;3;6;11041388.82;9778739.12;1;44;0.542;826770
1541072;2;5;4258694.2;3694430.72;0;65;0.104;335610
1491077;1;2;10591751.44;9639610;1;63;0.439;890720
2785811;1;4;2745264.06;2380616.48;0;63;0.168;298506
2688699;1;2;13728747.92;12393328.65;1;61;0.964;1043901
2971971;3;4;5550080.03;4996663.08;0;76;0.477;402584
2202578;3;5;10197748.21;9283516.12;0;80;0.294;888492
2806708;1;3;6309443.7;5356707.36;1;84;0.793;568760
1956413;4;2;5212388.32;4914837.97;1;52;0.393;627990
2454625;1;4;4067251.27;3503383.76;1;65;0.936;377009
1762885;2;4;9717871.81;8633674.4;0;42;0.64;822030
1809983;1;4;4253253.06;3461134.14;0;57;0.276;732920
2925758;3;4;1483762.24;1230033.06;0;54;0.753;258957
2877023;1;2;7941856.54;7254057.6;1;83;0.528;682022
1888333;1;3;2840910.78;2503820.38;0;76;0.2;292941
2066954;1;2;1426083.7;1252246.87;0;66;0.393;259787
1373984;1;3;4007062.5;3448325.32;0;73;0.89;395340
1889039;1;5;5482008.55;4745813.54;0;50;0.748;530442
1289052;1;6;6758269.41;5762075.4;0;63;0.799;701706
2900123;4;4;8461001.9;7339857.66;0;58;0.7;673344
2607842;3;2;4254969.76;3779085.24;1;79;0.267;705574
2600041;1;2;7825495.63;6902581.45;1;48;0.479;686488
1300160;1;2;3442005.04;2949552.72;1;67;0.92;562686
2892305;1;2;2141631.5;1834211.12;1;74;0.918;330010
2600128;3;2;13631382.72;11701087.32;0;79;0.439;1038555
1249759;3;5;12921481.65;11906970.54;1;58;0.608;1078633
1827481;4;3;3932904.7;3661437.56;0;82;0.581;422368
1932232;2;3;5572207.52;4759747.3;0;52;0.227;411668
2745711;4;6;4324639.68;3684658.51;0;63;0.679;631122
1484468;4;5;2742817.32;2341190.88;0;76;0.828;303163
2950807;3;5;12993831.76;12688888.16;0;41;0.223;1054448
2717636;2;3;8016508.5;7065537.58;1;91;0.788;767439
2232345;4;5;10177914.24;10030540.52;0;54;0.666;889200
2523150;4;4;6408450.87;6183423.72;1;65;0.282;765354
2312392;1;2;5249096.72;4669168.49;1;56;0.667;540768
2395479;1;3;10349347.32;9155882.95;0;57;0.541;891520
2340320;3;6;7877495.16;7015671.52;1;76;0.732;653741
2034538;2;2;4115173.92;3645519.23;0;67;0.307;475530
2574723;2;5;13308406.48;11956959.68;1;92;0.146;1201420
1335682;4;6;10931047.02;9995722.6;0;73;0.178;931293
1719498;3;5;10233552;8754325.17;1;70;0.332;967092
1362744;2;5;12031183;11382072.68;0;74;0.949;1161576
2506027;2;2;2175009.07;1822540.8;0;79;0.132;384748
2545531;2;2;6463345.28;5820116.2;0;42;0.338;732377
1238486;2;3;6980868.51;5813275.3;1;60;0.263;658168
2973756;4;4;3346148.71;3044770.08;1;64;0.434;561213
2240759;1;5;2840890.23;2505438;0;72;0.642;311952
2112373;3;6;2123374;1777410.1;0;46;0.115;340958
2028019;1;3;5830127.1;5533021.68;1;75;0.549;614550
1950769;3;3;2646849.85;2372574.09;0;69;0.508;310880
2549670;1;4;3272670.45;2839094.72;0;49;0.223;510027
1972050;3;2;16074209.7;15341685.36;0;48;0.56;1174160
1475209;2;2;7831410.99;6992920.15;1;81;0.56;635904
2017700;4;5;6283674.25;5413126.52;1;65;0.222;600644
2543601;1;3;5351137.2;4886633.22;0;42;0.664;401800
2019465;1;4;2194898.12;1854864.4;1;83;0.529;327789
1936692;4;4;3622838.4;2850800.87;0;88;0.356;565141
1458133;3;6;1508653.52;1253008.8;1;70;0.389;213150
2408783;3;4;4006014.54;3381082.2;0;92;0.125;410984
1286669;3;6;5985181.93;5071600.62;0;53;0.446;572300
2932779;4;6;7089723.52;5831916.57;0;63;0.304;701706
2431485;2;3;7913491.83;6978115.56;1;82;0.487;691782
2572740;1;4;4154946.51;3460375.16;0;79;0.881;660465
1452366;3;4;5470744.04;4850701.1;0;57;0.315;400028
2705099;4;5;12493401.36;10937916.04;0;63;0.529;1153716
2669412;1;4;13740204.54;11801017.68;1;89;0.832;975062
1637510;2;6;2859960.75;2240152.26;1;72;0.753;326382
2308169;2;6;6830188.05;5672679.75;1;46;0.931;737521
2457355;3;5;1516165.42;1211377.2;1;71;0.426;230527
1266528;4;6;2740715.11;2337176.8;0;66;0.998;414355
2123978;4;4;7713357.65;7228015.45;0;91;0.333;692300
1619307;3;3;5423397.97;4902315;0;42;0.385;611000
2495505;2;5;5394075.3;4951432.29;1;44;0.734;580761
2169009;3;6;11275723.2;9949258.5;0;56;0.272;820358
1457830;4;2;5235642.24;4795779.36;1;86;0.711;444958
2957155;4;6;5522685.55;4528619.27;0;61;0.371;480930
2657949;4;3;2695160.52;2403533.33;0;60;0.804;294555
2076332;3;3;3327131;2858865.24;0;53;0.855;573597
1439142;1;5;13465729.95;12342077.72;1;51;0.271;1172448
1760251;4;2;11935800;10458525.37;0;47;0.255;988570
2925503;3;2;2691305.65;2412751.08;1;68;0.295;281569
2153162;1;2;14044053.16;12730972.65;0;63;0.215;966887
1931365;1;2;7975253.46;7351011.67;1;49;0.652;623875
2315170;2;4;2203634.4;1774645.6;1;63;0.464;367836
1483854;1;2;1419391.88;1228252.16;1;71;0.513;234428
2688987;4;3;3992038.56;3411393.75;0;50;0.236;342254
2143513;2;5;3430036.88;3145779;1;90;0.357;575148
2965775;4;6;5219152.5;4945194.73;0;52;0.15;403121
2162917;2;2;5402801.25;4953608.55;1;42;0.348;492180
2463152;3;4;10923799.95;9842794.96;1;73;0.191;847044
2048971;3;5;3295286.18;2885436.23;1;70;0.163;525280
2954142;2;2;5574911.5;4961997.82;0;51;0.109;531993
2328789;4;2;11169698.41;9164320;0;39;0.131;953800
2011461;2;3;6133560.3;5233009.68;1;52;0.777;591414
1703118;2;2;5309996.92;4934022.6;0;54;0.352;438750
1755155;3;5;4098561.21;3497335.84;1;83;0.846;473110
1520153;2;4;4192838.59;3701516.96;0;69;0.955;407461
2456221;4;2;6111574.92;5555944.8;0;49;0.909;612360
1955917;2;4;10346435.78;9256649.6;0;46;0.326;815204
2727773;3;4;9680890.45;9043884.64;1;60;0.879;808632
1763423;3;3;5320585.2;4620609;1;67;0.718;402192
2343535;3;2;5759403.36;5159568.2;1;57;0.93;521157
2345730;2;5;5414743.95;4896746.4;0;54;0.593;433008
2739004;1;3;2793338.94;2318666.94;0;74;0.541;507848
2261096;3;5;9666048;9230135.25;1;75;0.152;898808
1910224;1;3;12259567.9;10808786.01;0;58;0.599;1198587
1240866;2;2;2850447.46;2411667.09;1;48;0.317;283544
2768247;3;5;3380971.4;3064672.8;1;80;0.835;524964
2253475;2;5;1459846.87;1247242.24;0;77;0.879;262650
1558568;2;5;3407733.98;2960642.25;1;65;0.476;526750
2411966;3;3;2137533.75;1808809.44;1;81;0.755;310688
1819295;4;2;6650038.68;6184576.32;0;67;0.777;699384
2818819;1;6;8005420.15;7175181.51;0;57;0.631;630144
1688657;1;6;16593621;14078244.18;0;40;0.274;1387737
2923840;2;3;2084372.55;1760068.8;1;82;0.838;354850
2023796;4;6;2105073.6;1909397.25;0;41;0.616;318756
2368001;1;4;9714934.2;9236322.7;1;79;0.163;980941
1389815;3;2;2115099;1872823.62;0;66;0.902;378176
1812039;2;2;2233972.83;1871386.44;1;71;0.56;326045
1389766;3;2;6332148.9;5307849.84;0;76;0.281;577918
1787504;4;3;8039707.86;6954993.76;0;71;0.865;819156
2634507;2;2;5365024.64;4665590;1;77;0.917;589160
2179373;4;4;10522812.3;8531014.8;1;77;0.729;986492
2330754;1;6;3589393.08;2913020.72;1;40;0.813;606883
2906989;1;3;6977955.67;6119261.75;0;75;0.698;816592
1567242;2;2;1363749.32;1194881.28;1;68;0.154;251732
2903024;2;2;2636683.35;2369927.68;1;66;0.881;498885
1554649;4;6;2794149.99;2407205.46;1;53;0.322;316882
1750888;4;6;1484321.6;1204147.96;0;43;0.98;250496
2173772;3;4;5471612.37;4641743.7;1;66;0.997;395460
2680781;3;2;5460318.2;4866245.24;1;61;0.239;409617
2059237;4;4;3319254;3070235.78;0;61;0.545;567105
2214121;4;6;8396190.78;7145107.29;0;45;0.582;863282
2482779;3;2;4034071.2;3513730;1;74;0.367;634140
1465857;1;3;2136853.44;1789301.28;0;76;0.482;376551
1336836;2;2;8350323.8;7533405;0;40;0.812;973824
1249670;1;2;1539043.66;1310564.64;1;85;0.35;234289
1645478;2;5;6722737.21;5809663.5;1;83;0.778;767918
1762334;1;3;4167972.8;3719220.56;0;53;0.754;414882
1337599;3;4;4183670.04;3685950.84;0;65;0.332;434658
2193436;2;5;6440386.5;6101138.7;1;69;0.77;748452
2918649;2;2;5316371.84;4629147.46;0;55;0.958;428927
2384914;2;2;6320588.8;5408449.53;1;72;0.578;536544
1767356;4;6;9944530.47;8706985;1;52;0.634;806130
2667764;2;6;5915146.82;5457517;0;74;0.651;521375
1497232;1;3;6769177.35;6050316.06;1;35;0.233;754882
1990605;3;6;4162887.3;3436509.96;1;84;0.485;419760
2385626;4;3;8217939.18;7294527.8;0;66;0.801;795613
2077919;3;4;7762278.62;6823563.4;1;58;0.956;587650
2542292;2;2;2771638.23;2318299.2;1;51;0.603;408116
1342412;4;3;4128221.16;3718907;1;70;0.545;406064
1576858;2;6;5388462.64;4754058.47;1;47;0.608;614496
2130394;2;2;11088095.55;9334452.24;1;59;0.885;920970
1825771;1;4;4181696.94;3381389.3;0;77;0.423;405736
1533642;4;2;8274510.4;7190755.88;1;60;0.321;780160
1642556;1;2;5545412.85;4645001.63;1;65;0.989;493641
1506557;3;4;10326407;9267528.27;0;69;0.38;936320
2226368;3;3;8280745.64;7503976.34;1;63;0.634;805632
1947148;2;5;16439704.82;14244194.58;1;87;0.289;1275770
2506664;3;5;2753846.16;2428040.16;1;39;0.873;327642
2301207;2;2;2841700.2;2430130.78;1;74;0.769;453771
1326379;4;3;5404654.76;4551044.85;0;69;0.737;571872
2496056;3;6;8040214.08;7206892.98;0;50;0.694;842496
2314856;1;2;1372976.89;1177212.16;1;67;0.482;261414
2750764;1;3;8390650.98;6787504.56;1;69;0.452;905760
1565798;1;6;8426428.48;7487139.48;0;61;0.479;730368
2389960;1;3;5915693.7;5306100;1;52;0.221;504172
2036674;1;2;13415022.39;11914461.93;0;87;0.193;1022212
1251845;1;3;7862421.16;6932260.8;1;46;0.718;726948
1812817;3;5;2635950.46;2375026.03;1;75;0.958;276879
2128431;2;3;4079974.2;3639350.4;0;42;0.879;414615
2156309;3;4;6329318.05;5477382.04;1;79;0.36;572088
2499680;4;5;4053609.21;3545821;0;42;0.686;398090
1645552;2;4;13395127.22;12168957.76;1;61;0.184;995192
1421771;2;4;2816556.75;2327203.88;0;59;0.276;305959
2077136;2;3;2259155.25;1856042.62;1;57;0.15;379392
2456127;1;3;4228254.8;3569719.44;1;59;0.746;433086
1282836;4;2;15903997.12;14092788.95;0;67;0.854;1391228
2615326;2;4;1400821.48;1278641.08;1;67;0.125;227630
2462016;3;6;3578282.4;2825792.6;0;51;0.327;605640
1246001;3;3;6504493.32;5889209.33;1;42;0.294;701895
2364743;4;5;10885139.64;9496154.4;0;71;0.302;964187
2372195;1;6;8232868.8;6986324.97;0;70;0.694;725184
2163594;3;2;2614025.7;2360112.17;0;64;0.719;406214
1651344;1;6;8331598.8;6928016.4;1;71;0.641;709456
2544586;3;4;9810956.8;8601538.19;0;66;0.519;813850
2743667;1;3;6793169.76;5833344.58;1;52;0.129;730740
2519460;4;6;1486736.96;1200357.01;0;81;0.599;248642
2378293;1;6;8301923.08;7316616.8;0;49;0.92;647448
1565388;3;4;11132037.35;9261130.62;0;61;0.866;786324
2213103;1;4;2719284.82;2327484.96;1;89;0.235;489405
1732560;3;2;10701927.72;9471223.96;0;73;0.914;965454
2192664;3;3;15880578.56;15151227.96;1;77;0.22;1230610
1920453;4;5;6288801.57;5599014.4;1;69;0.36;503982
2635576;3;6;2662862.4;2416127.6;0;91;0.837;297480
2178834;2;6;8140395.78;7330213;0;63;0.689;779272
1467020;3;4;1472214.8;1277998.33;0;91;0.525;251218
2978448;4;2;3432959.04;3055590.72;0;46;0.441;559580
2513372;4;2;6582991.36;6251439.33;1;61;0.81;698496
2349190;1;6;8168622.88;7237661.76;0;88;0.517;972315
2705742;2;3;10859227.89;10014598.8;1;53;0.653;863346
2788348;3;3;13390499.14;11930580;1;86;0.592;991408
1526230;4;6;12375392.4;11084484.16;0;75;0.286;1014717
1874895;2;2;15207322.8;15296083.21;1;63;0.56;1148080
1521666;4;6;4117034.4;3419928.5;1;75;0.762;490000
2360215;3;3;8141444.52;7345682.17;0;85;0.29;662376
1533922;1;4;12805660.38;11782704.64;0;45;0.496;1078440
2813698;2;2;7987331.34;7479543.96;0;40;0.418;772405
2648233;1;3;8249495;6933402.96;0;65;0.276;617550
2072884;2;3;13213801.64;12591322;1;59;0.141;1198553
2587736;4;4;9848851.2;9451062.88;1;83;0.71;872606
2538113;3;5;4219495.4;3568345.53;0;88;0.401;407550
2801112;3;2;5314677.74;4849271.96;1;60;0.508;484380
1250199;2;3;2895872.04;2367923.04;1;81;0.844;328718
2997617;2;6;2223316.68;1871385.53;1;77;0.754;383238
2790716;4;2;5267737.65;4786243.45;0;64;0.906;425636
1688687;1;3;10153167.75;8870001.86;0;66;0.107;943272
2771247;1;4;9961040.84;8610559.8;1;79;0.114;849060
2090548;1;6;7805574;7012362.7;0;51;0.985;909242
2563825;4;4;16486913.1;15346914.65;1;38;0.307;1331232
2509755;1;2;2095330.3;1876308.48;1;70;0.401;380265
1444603;1;2;9757571.68;8785743.02;1;82;0.248;870224
2290914;3;5;8306755.16;7250365.95;0;46;0.876;633776
2115338;1;5;7045406.98;6246036.92;1;45;0.385;666791
2771860;4;5;10346380.8;9416815.95;0;90;0.785;939074
2264791;1;5;13891368.1;11529567;0;63;0.186;997808
2239601;2;2;10274682.44;10097910.72;0;66;0.76;868680
1702164;4;6;2677882.36;2466590.61;1;58;0.443;416056
1619964;2;6;5523339.9;4866600.42;1;69;0.544;582318
2950698;2;5;8123754.6;7221837.87;1;84;0.847;672672
1429223;4;3;4255398.72;3696165;1;74;0.95;447140
2725349;3;5;15368814.06;14534600.64;1;91;0.137;1351344
2997833;1;3;6304725;5143585.68;0;57;0.615;558638
2080809;3;6;2817584.28;2465971.7;1;73;0.934;503470
2624354;2;5;2672618.62;2338424.24;1;60;0.804;450300
1509829;4;3;1483251.12;1329136.62;1;56;0.922;235961
2999812;3;4;13726900.6;12350030.79;1;58;0.184;1154790
2470732;2;6;4275717.53;3687327.5;0;67;0.653;374731
2462671;4;5;7840324.05;6944670;1;58;0.564;977664
1463792;3;2;8201796.48;6835799.1;1;85;0.377;647192
2230343;4;6;3965682.46;3711326.8;1;53;0.418;402827
2107390;4;6;16029352.36;14219929.35;0;75;0.401;1359316
2931607;1;4;3576725.88;2889143.76;1;54;0.35;620194
2457290;2;2;7709183.46;7474368.37;0;52;0.889;649333
1559043;1;5;6790099.98;6088322.24;0;68;0.452;676480
1506987;2;6;1538457.96;1233076.04;0;51;0.198;250382
1914811;2;2;15159639.04;15341280.36;1;43;0.596;1355856
1294013;3;4;4088637.8;3740527.5;1;47;0.992;636396
2471690;2;6;2174698.47;1767480.75;1;50;0.407;384377
1518141;2;6;10208269.05;9790191.96;0;82;0.106;928550
2717030;2;5;12596033.96;11058496.4;0;62;0.659;1096626
2543853;3;5;3974345.7;3425966.9;1;44;0.928;409344
2191298;2;6;12526761.44;10959366.88;0;56;0.524;1116250
1382768;2;5;1443619.71;1280281.95;1;66;0.758;231630
1356168;4;5;5469758.28;4906645.28;0;79;0.989;635068
1264825;4;6;13115878.24;12421856.82;1;86;0.68;1000523
1964889;4;5;4315924.47;3594662.04;0;57;0.245;368940
2884748;2;5;5861704.06;5311957.28;0;82;0.779;549340
2405028;4;3;7982307.24;7521525.41;0;70;0.704;864768
1798513;1;6;2728217.32;2305530.81;1;78;0.308;424393
1565812;2;5;2876618.75;2326994.85;0;60;0.469;419492
1265070;4;3;7598312.04;7239354.85;1;47;0.745;611468
2827359;4;6;4073874.09;3527662.42;0;50;0.998;482997
2002167;1;4;8139441.89;7031625.84;0;66;0.139;700344
2361602;1;4;8259801.08;7275476.3;1;62;0.718;800667
1953260;2;2;4054700.16;3599670;1;83;0.473;372706
2308475;4;6;5448448.83;4708351.2;0;38;0.711;422920
2115680;2;4;6780932.32;5999936.4;1;93;0.374;718874
2946838;4;5;3919711.2;3713279.3;0;59;0.897;405080
2497428;4;4;11737224.93;10699713.1;0;71;0.782;1172015
1780030;2;3;5655309.62;4722887.58;1;59;0.124;433944
2432171;3;3;8007038.45;6940482.5;1;64;0.607;723240
1510931;3;5;4243481.01;3648963.51;1;70;0.622;664037
2310530;2;5;6630766.3;6065689.4;1;59;0.843;782598
1579346;4;6;3381427.52;2980451.25;0;81;0.785;570228
1647969;2;3;1426524.51;1205482.24;1;75;0.614;216712
1732669;1;5;4165644.78;3363367.83;0;41;0.651;356430
1898347;1;4;1388930.4;1211710.5;1;40;0.357;250224
1630208;2;6;6708525.04;5858199.83;0;89;0.409;728364
2547482;4;4;3578978.55;3040253.7;1;72;0.624;589470
2828185;2;3;4079957.08;3590718.84;0;72;0.651;487713
2831502;2;6;10956234.56;9698038.34;1;54;0.331;780252
1422150;4;4;5168537.05;4841614.96;0;50;0.796;551604
1652940;3;4;8475151;7187374.8;1;55;0.303;729675
1535990;4;2;5941550.02;5219483.36;1;72;0.746;499004
2320837;1;6;4185607.62;3619902.4;1;48;0.817;495488
1817408;4;6;9877255.96;9004222.4;0;58;0.962;945255
