CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book
718026858,Existing Customer,52,F,2,College,Single,Less than $40K,Blue,36
770038983,Attrited Customer,37,M,4,High School,Single,$60K - $80K,Silver,31
719373558,Existing Customer,42,F,3,Unknown,Single,Less than $40K,Blue,36
716131083,Existing Customer,47,M,2,Graduate,Single,$40K - $60K,Blue,35
718199133,Existing Customer,57,M,1,High School,Married,$80K - $120K,Blue,36
713358633,Existing Customer,30,M,1,Graduate,Single,$60K - $80K,Blue,36
787500333,Existing Customer,52,M,2,Post-Graduate,Single,$80K - $120K,Blue,40
719465733,Existing Customer,52,F,2,High School,Single,Less than $40K,Blue,44
720326733,Existing Customer,55,M,2,Graduate,Single,$120K +,Blue,47
713249883,Existing Customer,51,F,2,Uneducated,Married,$40K - $60K,Blue,36
781926633,Existing Customer,48,M,2,Uneducated,Married,$40K - $60K,Blue,42
710626758,Existing Customer,44,M,4,Uneducated,Unknown,$60K - $80K,Blue,36
716520033,Existing Customer,52,M,2,Post-Graduate,Married,$80K - $120K,Blue,36
717549408,Existing Customer,44,M,4,Graduate,Married,$80K - $120K,Blue,36
794784633,Existing Customer,61,F,0,Uneducated,Single,$40K - $60K,Blue,55
709873683,Existing Customer,60,M,0,Doctorate,Unknown,$40K - $60K,Silver,53
711701958,Existing Customer,48,M,1,Unknown,Single,$60K - $80K,Blue,38
739692933,Existing Customer,46,F,2,Unknown,Single,$40K - $60K,Blue,29
758417508,Existing Customer,50,F,4,High School,Divorced,Less than $40K,Blue,43
790164408,Existing Customer,59,F,1,Unknown,Married,Less than $40K,Blue,52
778632933,Existing Customer,49,F,3,College,Married,Less than $40K,Blue,29
772127508,Attrited Customer,31,F,1,Uneducated,Married,Less than $40K,Blue,20
778899708,Attrited Customer,56,F,2,Unknown,Single,$40K - $60K,Blue,37
715588908,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,32
771518658,Existing Customer,58,F,1,High School,Married,$40K - $60K,Blue,46
767802483,Existing Customer,44,M,4,College,Single,$60K - $80K,Blue,38
711688158,Existing Customer,47,M,5,Graduate,Single,$120K +,Blue,27
778375458,Existing Customer,52,M,3,Graduate,Married,$80K - $120K,Blue,32
801783108,Existing Customer,46,M,3,College,Married,$120K +,Blue,40
712643358,Existing Customer,59,F,0,High School,Married,Less than $40K,Blue,49
780657708,Existing Customer,48,M,2,Unknown,Married,$80K - $120K,Blue,37
717684858,Existing Customer,50,M,3,Uneducated,Single,$120K +,Blue,38
711791583,Attrited Customer,52,F,1,Graduate,Single,Less than $40K,Blue,40
778486008,Existing Customer,52,F,3,High School,Married,Less than $40K,Blue,40
713015433,Existing Customer,50,F,4,Unknown,Married,Less than $40K,Blue,36
779070033,Existing Customer,63,F,0,College,Single,Less than $40K,Blue,44
718127958,Existing Customer,58,M,0,Graduate,Divorced,Unknown,Blue,36
708134283,Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36
717987258,Existing Customer,43,F,3,Unknown,Single,$40K - $60K,Blue,36
713381433,Attrited Customer,38,F,1,High School,Married,Less than $40K,Blue,28
789662283,Attrited Customer,50,F,3,High School,Married,Less than $40K,Blue,33
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53
811035483,Attrited Customer,47,M,3,Uneducated,Divorced,$120K +,Silver,42
708572658,Existing Customer,49,M,5,Graduate,Married,$60K - $80K,Silver,38
719473458,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,42
801385458,Existing Customer,52,M,1,Uneducated,Married,$120K +,Blue,46
710636208,Existing Customer,51,M,3,Uneducated,Married,$120K +,Blue,40
708886533,Existing Customer,50,M,1,Graduate,Single,$120K +,Blue,41
720115683,Existing Customer,47,M,3,Uneducated,Married,$80K - $120K,Blue,36
715989108,Existing Customer,52,M,3,Unknown,Single,$80K - $120K,Blue,42
708821733,Attrited Customer,43,F,3,Unknown,Single,$40K - $60K,Silver,36
711374283,Existing Customer,47,M,3,High School,Single,$80K - $120K,Blue,42
712865583,Existing Customer,57,F,5,Graduate,Married,$40K - $60K,Blue,49
815072283,Existing Customer,50,F,3,Graduate,Married,Less than $40K,Blue,45
715878183,Existing Customer,46,M,4,Graduate,Single,$80K - $120K,Blue,35
770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37
793355508,Existing Customer,32,M,0,Graduate,Single,Less than $40K,Blue,26
718970058,Existing Customer,38,M,3,Unknown,Married,$120K +,Blue,33
772069683,Existing Customer,59,M,0,High School,Married,$60K - $80K,Blue,48
714652383,Existing Customer,51,F,4,Graduate,Married,Less than $40K,Blue,36
712586583,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,13
788870283,Existing Customer,56,F,3,Graduate,Married,Less than $40K,Blue,41
798120858,Existing Customer,37,M,3,Uneducated,Married,$80K - $120K,Blue,31
717181833,Existing Customer,39,F,1,Graduate,Single,Less than $40K,Silver,30
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40
806970033,Existing Customer,48,M,3,High School,Unknown,$40K - $60K,Blue,43
719962458,Existing Customer,44,F,2,Graduate,Unknown,Less than $40K,Blue,34
710492733,Existing Customer,29,M,0,Post-Graduate,Single,$40K - $60K,Blue,19
713071383,Existing Customer,54,F,1,Unknown,Single,Unknown,Blue,36
713696808,Attrited Customer,46,F,3,High School,Married,Less than $40K,Blue,39
772607433,Existing Customer,50,M,3,High School,Married,$80K - $120K,Blue,40
811705233,Existing Customer,45,M,2,Unknown,Single,$40K - $60K,Blue,40
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38
789301458,Existing Customer,41,F,4,High School,Married,Unknown,Blue,30
778231983,Existing Customer,49,F,4,Unknown,Single,$40K - $60K,Blue,39
712191783,Existing Customer,49,M,4,High School,Married,$120K +,Gold,36
711082908,Existing Customer,44,M,4,Uneducated,Single,$80K - $120K,Blue,31
807209808,Existing Customer,48,M,1,High School,Single,$60K - $80K,Blue,40
802247658,Attrited Customer,59,M,2,Uneducated,Single,$40K - $60K,Blue,53
716675358,Existing Customer,54,F,1,College,Single,Less than $40K,Blue,41
709364433,Existing Customer,36,F,3,High School,Married,Unknown,Blue,30
715004808,Existing Customer,49,F,2,High School,Married,Less than $40K,Blue,39
712407033,Existing Customer,26,F,0,Uneducated,Unknown,Unknown,Silver,13
719835033,Existing Customer,46,M,4,College,Married,$80K - $120K,Blue,34
708813033,Existing Customer,47,M,1,Graduate,Single,$40K - $60K,Blue,36
779651058,Existing Customer,59,F,0,Unknown,Single,$40K - $60K,Blue,42
718708908,Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,36
715199808,Existing Customer,39,F,3,Graduate,Unknown,Unknown,Silver,30
710463408,Existing Customer,47,M,3,Unknown,Married,$80K - $120K,Blue,36
708856983,Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27
710630583,Existing Customer,47,M,3,High School,Single,$60K - $80K,Blue,39
712826208,Existing Customer,39,F,2,Graduate,Married,$40K - $60K,Blue,26
739117233,Existing Customer,57,M,3,High School,Married,$120K +,Blue,50
780584658,Attrited Customer,33,F,2,Uneducated,Unknown,$40K - $60K,Blue,22
787529583,Attrited Customer,41,F,5,Unknown,Married,$40K - $60K,Blue,30
708438033,Existing Customer,36,F,2,Unknown,Married,Less than $40K,Blue,27
710653158,Existing Customer,39,F,4,Graduate,Married,Unknown,Blue,21
719494983,Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,15
712233183,Existing Customer,45,F,2,Graduate,Single,Less than $40K,Blue,34
708575058,Attrited Customer,46,F,3,Uneducated,Divorced,$40K - $60K,Blue,39
708614058,Existing Customer,56,F,2,Graduate,Divorced,Less than $40K,Blue,45
709946658,Existing Customer,49,F,4,College,Single,$40K - $60K,Blue,30
788959758,Existing Customer,47,F,4,Uneducated,Single,$40K - $60K,Blue,33
781171908,Existing Customer,45,M,3,Graduate,Single,$40K - $60K,Blue,38
715884858,Existing Customer,38,M,2,High School,Married,$80K - $120K,Blue,36
721029858,Existing Customer,52,F,3,Graduate,Single,Less than $40K,Blue,36
791822733,Existing Customer,47,F,3,High School,Single,Unknown,Blue,41
778699908,Attrited Customer,43,M,2,Uneducated,Married,$60K - $80K,Blue,24
711283008,Existing Customer,50,M,1,High School,Single,$80K - $120K,Silver,36
771484908,Existing Customer,31,M,0,Graduate,Divorced,$80K - $120K,Silver,19
716077458,Existing Customer,46,M,3,Uneducated,Married,$40K - $60K,Blue,36
709124883,Existing Customer,49,M,3,College,Married,$80K - $120K,Blue,37
715519983,Existing Customer,43,M,2,Post-Graduate,Married,$60K - $80K,Blue,34
709222008,Attrited Customer,41,M,3,Unknown,Single,$80K - $120K,Blue,32
711412533,Attrited Customer,40,F,3,High School,Single,Less than $40K,Blue,35
713242383,Attrited Customer,39,M,2,Uneducated,Married,$120K +,Silver,19
714573258,Existing Customer,36,M,2,Post-Graduate,Single,$60K - $80K,Blue,30
716452908,Existing Customer,36,F,1,Unknown,Single,Less than $40K,Blue,36
778272408,Attrited Customer,52,M,1,Unknown,Divorced,$80K - $120K,Blue,42
715670058,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,38
717823383,Existing Customer,56,M,4,Unknown,Married,$60K - $80K,Blue,47
788827308,Existing Customer,65,M,1,Graduate,Married,Less than $40K,Blue,50
710161083,Attrited Customer,62,F,0,Uneducated,Single,Less than $40K,Blue,36
710353233,Existing Customer,48,M,3,College,Divorced,$60K - $80K,Blue,39
721112508,Existing Customer,48,F,3,Graduate,Married,Less than $40K,Blue,40
714965958,Existing Customer,47,F,4,Post-Graduate,Unknown,$40K - $60K,Blue,36
720746208,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43
788826408,Existing Customer,33,M,1,Uneducated,Married,$120K +,Blue,16
770764908,Existing Customer,39,M,2,Unknown,Married,$60K - $80K,Blue,25
719773158,Existing Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36
708982158,Existing Customer,48,F,2,Graduate,Single,Less than $40K,Blue,36
710840433,Existing Customer,34,M,1,College,Unknown,$40K - $60K,Blue,20
772698783,Existing Customer,50,F,2,College,Married,Less than $40K,Blue,40
721232058,Existing Customer,49,M,1,Graduate,Unknown,$40K - $60K,Silver,41
784795083,Existing Customer,31,F,1,High School,Divorced,Less than $40K,Blue,25
712778658,Existing Customer,52,F,3,Graduate,Married,Less than $40K,Blue,39
710503308,Existing Customer,48,F,2,Graduate,Single,Unknown,Blue,29
713876958,Existing Customer,32,F,0,Unknown,Single,Unknown,Blue,26
772277508,Existing Customer,65,F,1,Unknown,Single,Less than $40K,Blue,54
720698883,Attrited Customer,51,M,1,High School,Single,$80K - $120K,Blue,38
779114283,Existing Customer,40,F,5,High School,Single,Less than $40K,Blue,22
718484283,Existing Customer,57,M,3,Post-Graduate,Married,$60K - $80K,Blue,36
721397808,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,24
709738008,Existing Customer,48,F,3,Unknown,Married,$40K - $60K,Blue,36
719013108,Existing Customer,42,M,3,Graduate,Divorced,$40K - $60K,Blue,33
713766183,Existing Customer,49,M,0,Uneducated,Single,$80K - $120K,Blue,36
717529233,Attrited Customer,40,F,3,Graduate,Single,Less than $40K,Blue,30
778745058,Existing Customer,50,M,3,High School,Single,$80K - $120K,Silver,41
720487308,Existing Customer,49,M,1,High School,Unknown,$60K - $80K,Blue,38
714931458,Existing Customer,52,F,2,Post-Graduate,Single,Unknown,Blue,42
820108008,Existing Customer,49,M,4,Unknown,Married,$80K - $120K,Blue,44
788610258,Existing Customer,49,M,4,College,Unknown,Less than $40K,Blue,43
712555233,Existing Customer,59,F,0,Graduate,Single,$40K - $60K,Blue,48
709014558,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,42
819714408,Attrited Customer,44,F,2,Graduate,Married,Unknown,Blue,39
788744058,Existing Customer,48,F,2,High School,Married,Unknown,Blue,27
813901458,Existing Customer,60,M,1,High School,Single,$60K - $80K,Silver,55
710343783,Existing Customer,37,F,5,Unknown,Married,Less than $40K,Blue,29
720452508,Existing Customer,51,F,1,College,Married,Unknown,Blue,37
718281408,Existing Customer,36,F,2,Unknown,Married,$40K - $60K,Blue,25
710940183,Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue,38
716439258,Existing Customer,32,M,3,Graduate,Married,$60K - $80K,Blue,36
795979833,Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,47
711625683,Existing Customer,46,M,4,Doctorate,Married,$120K +,Blue,36
770721858,Existing Customer,65,M,1,Graduate,Married,Less than $40K,Blue,56
811534983,Existing Customer,54,F,3,Graduate,Married,Less than $40K,Blue,49
720977358,Existing Customer,50,F,2,Unknown,Single,Less than $40K,Blue,36
714677583,Attrited Customer,50,F,3,Doctorate,Single,Unknown,Blue,36
715051608,Attrited Customer,34,M,2,High School,Single,$60K - $80K,Blue,36
715442958,Existing Customer,54,M,2,Uneducated,Married,$60K - $80K,Blue,36
779759058,Existing Customer,52,M,0,Graduate,Single,$120K +,Blue,41
718379358,Existing Customer,39,M,1,Unknown,Single,$80K - $120K,Silver,28
711722808,Attrited Customer,51,F,4,Graduate,Single,Less than $40K,Blue,44
709516458,Existing Customer,30,M,0,Graduate,Divorced,$60K - $80K,Blue,22
721063533,Existing Customer,51,M,2,Graduate,Single,$40K - $60K,Blue,41
721524858,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,37
719706483,Existing Customer,33,M,3,High School,Married,$120K +,Blue,20
709373883,Existing Customer,37,F,5,Unknown,Married,$40K - $60K,Silver,36
823635033,Existing Customer,49,F,2,High School,Married,Less than $40K,Blue,45
709669533,Existing Customer,38,F,1,High School,Divorced,Less than $40K,Blue,30
720310458,Existing Customer,46,M,1,Unknown,Single,$120K +,Blue,32
717392358,Existing Customer,60,M,1,Graduate,Married,$80K - $120K,Blue,50
713193408,Existing Customer,59,F,0,Unknown,Single,Less than $40K,Blue,52
710175783,Existing Customer,45,F,3,High School,Single,Unknown,Blue,25
789678483,Existing Customer,50,F,2,High School,Married,Less than $40K,Silver,37
718826883,Attrited Customer,50,M,3,Uneducated,Single,$80K - $120K,Blue,36
718924983,Existing Customer,59,M,0,Uneducated,Single,$60K - $80K,Blue,48
821889858,Attrited Customer,50,F,1,Doctorate,Single,Unknown,Blue,46
708433683,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,37
715993608,Existing Customer,51,M,2,College,Single,$120K +,Blue,41
711675108,Existing Customer,43,F,3,Graduate,Single,Less than $40K,Blue,30
715335558,Existing Customer,43,F,5,Uneducated,Single,Less than $40K,Blue,36
772036233,Existing Customer,62,M,1,Graduate,Single,$80K - $120K,Blue,51
719701383,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,32
718516533,Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue,36
798788958,Existing Customer,32,M,1,High School,Single,$80K - $120K,Blue,26
716975583,Existing Customer,42,F,2,Unknown,Single,$40K - $60K,Blue,34
718758783,Existing Customer,44,F,4,Unknown,Single,Less than $40K,Silver,36
714479358,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Blue,36
719343633,Existing Customer,48,M,3,High School,Unknown,Less than $40K,Blue,38
781923483,Existing Customer,53,F,1,College,Married,$40K - $60K,Blue,47
783020958,Existing Customer,39,M,3,Unknown,Married,$80K - $120K,Blue,33
712517808,Existing Customer,42,M,5,High School,Married,$60K - $80K,Blue,36
717998058,Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,13
718466883,Existing Customer,34,F,1,Uneducated,Single,Less than $40K,Blue,25
719801508,Existing Customer,36,M,1,Uneducated,Unknown,$120K +,Blue,23
717192933,Existing Customer,55,M,0,Graduate,Married,$120K +,Blue,42
720939933,Attrited Customer,46,F,4,Unknown,Single,Less than $40K,Blue,33
721006458,Existing Customer,42,M,2,Unknown,Single,$120K +,Blue,35
788943333,Attrited Customer,51,M,3,Post-Graduate,Married,$80K - $120K,Silver,37
711668283,Existing Customer,48,M,4,Uneducated,Married,$80K - $120K,Blue,37
713552958,Existing Customer,43,M,5,Graduate,Unknown,$60K - $80K,Blue,28
709094358,Existing Customer,51,F,1,Graduate,Single,Less than $40K,Blue,41
770781558,Existing Customer,35,F,2,Graduate,Married,Less than $40K,Blue,21
721144383,Existing Customer,42,M,4,Graduate,Married,$60K - $80K,Silver,28
712740108,Attrited Customer,43,F,4,Uneducated,Divorced,Less than $40K,Blue,33
720532908,Existing Customer,36,F,2,Unknown,Divorced,$40K - $60K,Blue,20
767815233,Existing Customer,46,F,3,College,Married,Less than $40K,Blue,40
758317233,Existing Customer,35,F,1,College,Single,Unknown,Blue,28
716626008,Existing Customer,51,F,2,Graduate,Divorced,Unknown,Blue,36
712521783,Existing Customer,54,M,3,Graduate,Unknown,$80K - $120K,Blue,47
719163108,Existing Customer,44,M,3,Graduate,Married,$120K +,Blue,31
710819733,Attrited Customer,56,M,3,Graduate,Married,$120K +,Blue,36
713010483,Existing Customer,43,F,3,Graduate,Married,$40K - $60K,Blue,36
768733533,Existing Customer,53,M,5,Uneducated,Unknown,$80K - $120K,Blue,47
771963708,Attrited Customer,56,M,3,Unknown,Married,$60K - $80K,Blue,45
802460433,Attrited Customer,57,F,3,High School,Married,Unknown,Blue,51
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36
780025908,Existing Customer,40,F,2,Post-Graduate,Married,Less than $40K,Silver,30
770596458,Attrited Customer,45,F,2,Doctorate,Married,Less than $40K,Blue,31
713419908,Existing Customer,58,F,2,High School,Married,Unknown,Blue,50
717678408,Existing Customer,61,F,1,Doctorate,Married,$40K - $60K,Blue,47
714514983,Existing Customer,43,F,5,Graduate,Married,Less than $40K,Blue,35
720962208,Attrited Customer,42,M,2,Post-Graduate,Married,$60K - $80K,Blue,27
778405458,Existing Customer,52,F,2,High School,Single,Unknown,Blue,32
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46
818923158,Existing Customer,55,M,2,Graduate,Married,$60K - $80K,Blue,50
716136333,Attrited Customer,40,F,4,Uneducated,Single,Less than $40K,Blue,24
780097533,Existing Customer,48,M,3,Doctorate,Divorced,$80K - $120K,Blue,33
712141683,Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,28
773172483,Attrited Customer,30,M,0,Graduate,Married,$40K - $60K,Blue,23
712425258,Existing Customer,46,F,4,Unknown,Single,Less than $40K,Blue,26
714725883,Existing Customer,41,F,4,Graduate,Divorced,$40K - $60K,Blue,36
715728108,Existing Customer,27,F,0,Graduate,Unknown,Less than $40K,Blue,36
768965208,Existing Customer,51,F,1,Graduate,Married,$40K - $60K,Blue,45
780108408,Existing Customer,52,M,2,Graduate,Married,$80K - $120K,Blue,37
773389908,Existing Customer,37,F,3,High School,Single,Less than $40K,Blue,31
793449333,Existing Customer,54,M,2,Graduate,Divorced,$80K - $120K,Blue,48
811527933,Attrited Customer,65,F,0,College,Single,Less than $40K,Silver,56
713634108,Existing Customer,45,F,3,Graduate,Single,Unknown,Blue,36
719315508,Existing Customer,62,F,0,Unknown,Married,$40K - $60K,Blue,36
708995283,Existing Customer,50,F,1,Graduate,Unknown,Unknown,Blue,36
817240833,Existing Customer,51,F,2,Graduate,Single,Less than $40K,Blue,36
712021233,Attrited Customer,33,M,3,Graduate,Married,$60K - $80K,Blue,15
711122958,Attrited Customer,41,F,3,Graduate,Single,Less than $40K,Blue,33
712724733,Existing Customer,31,F,0,Post-Graduate,Single,Less than $40K,Blue,19
713911233,Existing Customer,47,F,3,Doctorate,Single,$40K - $60K,Silver,39
713734758,Existing Customer,35,F,2,Graduate,Married,Unknown,Blue,23
716881683,Attrited Customer,45,M,5,Uneducated,Married,$80K - $120K,Blue,34
713172408,Existing Customer,54,M,1,Unknown,Married,$80K - $120K,Blue,43
720454158,Existing Customer,44,M,2,Unknown,Single,$60K - $80K,Blue,30
779183958,Attrited Customer,45,F,2,Graduate,Single,Less than $40K,Blue,33
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36
787800108,Existing Customer,55,M,2,College,Married,$80K - $120K,Blue,45
715462008,Existing Customer,45,M,2,College,Married,$60K - $80K,Blue,35
720650208,Existing Customer,40,F,3,College,Unknown,$40K - $60K,Blue,22
711642108,Existing Customer,30,F,1,Uneducated,Married,Unknown,Blue,13
719226333,Existing Customer,44,M,4,Unknown,Single,$60K - $80K,Blue,24
718146258,Existing Customer,51,M,2,Graduate,Divorced,$60K - $80K,Blue,41
711064008,Existing Customer,48,F,2,Unknown,Single,Less than $40K,Blue,36
716516208,Existing Customer,45,M,4,Graduate,Married,$80K - $120K,Blue,36
792139308,Existing Customer,48,F,3,Graduate,Single,$40K - $60K,Blue,42
807523008,Existing Customer,37,M,1,Graduate,Single,Unknown,Blue,32
719799033,Existing Customer,52,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,40
708450033,Existing Customer,43,F,3,High School,Unknown,Less than $40K,Blue,13
819975183,Existing Customer,44,F,4,College,Single,$40K - $60K,Silver,39
711676908,Existing Customer,51,F,3,College,Married,Unknown,Blue,36
709045683,Existing Customer,42,F,3,Uneducated,Married,Unknown,Blue,30
717592758,Attrited Customer,44,F,3,Unknown,Single,Less than $40K,Blue,36
714684933,Attrited Customer,40,F,1,Uneducated,Married,Less than $40K,Blue,28
714790008,Existing Customer,38,F,1,Unknown,Single,Less than $40K,Blue,36
712770408,Attrited Customer,42,F,2,Graduate,Unknown,Less than $40K,Blue,36
789953733,Existing Customer,46,F,3,Graduate,Married,Less than $40K,Blue,37
719294433,Existing Customer,63,F,1,Uneducated,Single,Unknown,Blue,55
708354858,Attrited Customer,51,M,2,Unknown,Single,$120K +,Blue,42
778865583,Existing Customer,46,M,3,Graduate,Married,Less than $40K,Blue,27
715970133,Existing Customer,33,F,4,College,Divorced,Less than $40K,Blue,24
714655758,Existing Customer,62,M,0,Graduate,Divorced,$40K - $60K,Blue,36
779348358,Attrited Customer,52,F,1,Uneducated,Single,Less than $40K,Blue,37
721424583,Existing Customer,35,F,1,High School,Married,Less than $40K,Blue,26
771852483,Existing Customer,46,M,3,Graduate,Single,$80K - $120K,Blue,35
820044333,Existing Customer,39,M,3,College,Divorced,$40K - $60K,Blue,34
718431258,Existing Customer,41,M,4,High School,Single,$60K - $80K,Blue,28
789540108,Existing Customer,29,F,1,Uneducated,Married,Less than $40K,Blue,21
713629533,Existing Customer,35,F,1,Uneducated,Married,Less than $40K,Blue,36
779998083,Existing Customer,33,M,3,High School,Married,$40K - $60K,Blue,23
718513233,Existing Customer,59,M,2,Graduate,Single,$120K +,Blue,48
720971358,Existing Customer,59,M,0,High School,Single,$80K - $120K,Blue,47
715396983,Existing Customer,46,M,1,Uneducated,Married,$80K - $120K,Blue,36
711339258,Existing Customer,49,F,3,Graduate,Single,$40K - $60K,Silver,36
714332658,Existing Customer,42,F,3,Graduate,Single,Less than $40K,Blue,35
753856008,Existing Customer,49,F,2,Unknown,Unknown,$40K - $60K,Blue,42
826477083,Existing Customer,48,F,2,College,Married,Less than $40K,Blue,44
715240683,Existing Customer,46,M,4,High School,Married,$80K - $120K,Blue,37
716512383,Existing Customer,39,F,2,High School,Married,Less than $40K,Blue,36
715182108,Existing Customer,51,F,3,High School,Married,Less than $40K,Blue,35
779533983,Existing Customer,47,M,2,College,Divorced,$80K - $120K,Blue,31
720648483,Existing Customer,39,M,4,College,Single,$80K - $120K,Blue,31
825811158,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,47
716151858,Existing Customer,46,M,3,Unknown,Single,$80K - $120K,Blue,36
712947333,Attrited Customer,54,F,4,Unknown,Married,Less than $40K,Blue,43
787452333,Attrited Customer,39,F,1,High School,Married,Less than $40K,Blue,25
799468083,Existing Customer,51,M,2,Graduate,Married,$40K - $60K,Blue,45
717728808,Existing Customer,39,F,2,Graduate,Married,Less than $40K,Blue,26
716093133,Existing Customer,38,F,2,Uneducated,Single,$40K - $60K,Blue,31
714516783,Existing Customer,54,F,0,Graduate,Divorced,Less than $40K,Silver,36
718421808,Existing Customer,56,F,2,Uneducated,Married,Unknown,Blue,43
757053408,Existing Customer,47,F,1,Graduate,Single,Unknown,Blue,40
720789933,Existing Customer,46,F,4,Graduate,Married,Unknown,Blue,32
713574708,Existing Customer,39,M,3,College,Single,$40K - $60K,Blue,28
714634983,Attrited Customer,44,F,1,Unknown,Single,Unknown,Blue,36
720801033,Existing Customer,51,F,1,High School,Married,Unknown,Blue,36
720508233,Attrited Customer,62,M,0,Unknown,Single,$40K - $60K,Silver,42
718815108,Existing Customer,50,M,2,Unknown,Married,$80K - $120K,Blue,38
719810583,Existing Customer,64,M,0,High School,Married,Less than $40K,Blue,54
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30
711153783,Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,36
816761433,Existing Customer,36,M,2,College,Single,$80K - $120K,Blue,31
709621008,Existing Customer,48,M,5,Post-Graduate,Single,$60K - $80K,Blue,30
713407458,Existing Customer,62,F,0,Graduate,Single,Unknown,Blue,36
714839808,Existing Customer,51,F,3,Graduate,Married,Less than $40K,Blue,35
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34
713086008,Existing Customer,58,F,3,High School,Married,Less than $40K,Blue,47
806140383,Attrited Customer,59,M,2,High School,Single,$80K - $120K,Blue,54
719881533,Attrited Customer,46,M,2,College,Married,$40K - $60K,Silver,34
789849108,Existing Customer,35,M,1,Graduate,Single,$60K - $80K,Blue,25
815860008,Existing Customer,40,F,3,Uneducated,Married,Less than $40K,Blue,35
721527858,Attrited Customer,52,F,3,High School,Married,Less than $40K,Blue,40
780253533,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,49
